,,,pay as you go,,80/40 income,,,,,,,,,,,x,,,,,,,,
Notes,age,year,"i(R,G) income stearm (real, pretax/Gross)",real Int. (tipps),years out,real interest inflator,real discount rate,ladder amount invested today,inflation rate,inflation infaltor,infl deflator,Nominal interest rate for horizon t,amount in play at time t before t's payout,Taxable gain (in time t dollars),Taxes all in at time t,nominal income at time t pretax,nominal income at time t post tax,real post tax income at time t (today's dollars),total (nominal) discount factor,total discount divisor,nominal income pre tax discounted down,nominal after tax payments disocunted down,,
,,,100,,,,,,,  ,,,,,"0,2",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,76,2047,"11,15","0,025","21,5","1,700447022","0,5880806558","6,557099313","0,03","1,887992789","0,52966304","0,05575","173,0080406","8,482867283","1,696573457","21,05111959","19,35454614","10,25138775","3,210431715","0,3114845879","6,557099313","6,028642829",,"9,645198264"
,77,2048,"11,125","0,025","22,5","1,742958198","0,5737372252","6,38282663","0,03","1,944632572","0,5142359612","0,05575","165,3795222","7,959195115","1,591839023","21,63403737","20,04219834","10,30641913","3,389413284","0,2950363135","6,38282663","5,913176313",,"9,219908364"
,78,2049,"10,875","0,025","23,5","1,786532153","0,5597436344","6,087212024","0,03","2,00297155","0,4992582147","0,05575","157,489046","6,981629771","1,396325954","21,7823156","20,38598965","10,1778728","3,578373074","0,2794566076","6,087212024","5,696999509",,"8,780014313"
,79,2050,"10,875","0,025","24,5","1,831195456","0,5460913506","5,938743438","0,03","2,063060696","0,4847167133","0,05575","149,1220153","6,577202816","1,315440563","22,43578507","21,12034451","10,23738397","3,777867373","0,2646996046","5,938743438","5,590546841",,"8,313552352"
,80,2051,"10,75","0,025","25,5","1,876975343","0,5327720494","5,727299531","0,03","2,124952517","0,4705987508","0,05575","140,606037","6,169643935","1,233928787","22,84323956","21,60931077","10,16931465","3,988483479","0,2507218609","5,727299531","5,417926609",,"7,838786562"
,81,2052,"10,75","0,025","26,5","1,923899726","0,5197776091","5,587609298","0,03","2,188701092","0,4568919911","0,05575","132,0637679","5,755677067","1,151135413","23,52853674","22,37740133","10,22405545","4,210841433","0,2374822267","5,587609298","5,314235097",,"7,36255506"
,82,2053,"10,625","0,025","27,5","1,97199722","0,5071001065","5,387938631","0,03","2,254362125","0,4435844574","0,05575","123,3683932","5,341102533","1,068220507","23,95259758","22,88437707","10,15115399","4,445595843","0,2249417256","5,387938631","5,147651267",,"6,877787919"
,83,2054,"10,625","0,025","28,5","2,02129715","0,4947318112","5,256525494","0,03","2,321992989","0,4306645217","0,05575","114,6451414","4,918858483","0,9837716965","24,67117551","23,68740381","10,20132443","4,693437811","0,2130634388","5,256525494","5,046919713",,"6,391466636"
,84,2055,"10,5","0,025","29,5","2,071829579","0,4826651816","5,067984407","0,03","2,391652779","0,4181208949","0,05575","105,7660193","4,493933917","0,8987867833","25,11235418","24,21356739","10,12419847","4,955096969","0,2018123977","5,067984407","4,886598092",,"5,896455579"
missing maturities,85,2056,"10,5","0,025","30,5","2,123625318","0,4708928601","4,944375031","0,03","2,463402362","0,4059426164","0,05575","96,85432356","3,988740038","0,7977480076","25,8657248","25,06797679","10,17616009","5,231343625","0,1911554797","4,944375031","4,791881128",,"5,399628538"
missing maturities,86,2057,"10,5","0,025","31,5","2,176715951","0,4594076684","4,823780519","0,03","2,537304433","0,394119045","0,05575","87,71171223","3,488653083","0,6977306166","26,64169655","25,94396593","10,22501108","5,522991032","0,1810613116","4,823780519","4,697448498",,"4,889927957"
missing maturities,87,2058,"10,375","0,025","32,5","2,23113385","0,4482026033","4,65010201","0,03","2,613423566","0,3826398495","0,05575","78,34986924","3,000467251","0,6000934501","27,1142695","26,51417605","10,14538033","5,830897782","0,1715001767","4,65010201","4,547185877",,"4,36800521"
missing maturities,88,2059,"10,25","0,025","33,5","2,286912196","0,4372708325","4,482026033","0,03","2,691826273","0,3714949995","0,05575","68,90809368","2,474185226","0,4948370452","27,5912193","27,09638225","10,06617051","6,155970334","0,1624439277","4,482026033","4,40164276",,"3,841626222"
missing maturities,89,2060,"10,25","0,025","34,5","2,344085001","0,4266056903","4,372708325","0,03","2,772581061","0,3606747568","0,05575","59,35172709","2,016630588","0,4033261176","28,41895588","28,01562976","10,10453045","6,49916568","0,1538659036","4,372708325","4,310650188",,"3,308858785"
missing maturities,90,2061,"10,2","0,025","35,5","2,402687126","0,4162006734","4,245246869","0,03","2,855758493","0,3501696668","0,05575","49,62947347","1,607121905","0,321424381","29,12873663","28,80731225","10,08744693","6,861494166","0,1457408512","4,245246869","4,198402206",,"2,766843146"
missing maturities,91,2062,"10,15","0,025","36,5","2,462754304","0,4060494375","4,121401791","0,03","2,941431248","0,3399705503","0,05575","39,84135474","1,170228836","0,2340457672","29,85552716","29,6214814","10,07043133","7,244022466","0,1380448507","4,121401791","4,089092978",,"2,221155527"
missing maturities,92,2063,"10,15","0,025","37,5","2,524323162","0,3961457927","4,020879796","0,03","3,029674185","0,3300684955","0,05575","29,9627025","0,7624058431","0,1524811686","30,75119298","30,59871181","10,09967077","7,647876719","0,1307552458","4,020879796","4,000942083",,"1,670420664"
missing maturities,93,2064,"10,05","0,025","38,5","2,587431241","0,3864837002","3,884161187","0,03","3,120564411","0,32045485","0,05575","19,97583334","0,3741666603","0,07483333206","31,36167233","31,28683899","10,0260193","8,074245846","0,1238505762","3,884161187","3,874893036",,"1,113652709"
missing maturities,94,2065,10,"0,025","39,5","2,652117022","0,3770572685","3,770572685","0,03","3,214181343","0,3111212136","0,05575",10,0,0,"32,14181343","32,14181343",10,"8,524385052","0,1173105149","3,770572685","3,770572685",,"0,5575"
,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,amoutnto put down today to get the real income stream in year t,,,,,,,taxes in time t dollars,,,total income in today's dollars post tax,,,PV pre tax,PV after tax,,
,,,,,,,,"312,6009672",,,,,,,"71,99859656",,,"409,7058088",,,"312,6009672","270,1716113",,
,,,,,,,,,,,,,,,,,,avg,,,,,,
,,,,,,,,post tax yield,,,,,,,NPV of taxes,,,"10,23850736",,,,,,
,,,,,,,,"0,03275264135",,,,,,,"42,42935587",,,,,,,,,
,,,,,,,,,,,,,,,,,,,post tax real gain,,,,,
,,,,,,,,,,,,,,,,,,,,"0,3106351286",,,,
,,,,,,,,,,,,,,,,,,,NPV of tax loss,,,,,
,,,,,,,,,,,,,,,,,,,,"0,1357300851",,,,
